Tweet id,Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements,promoted impressions,promoted engagements,promoted engagement rate,promoted retweets,promoted replies,promoted likes,promoted user profile clicks,promoted url clicks,promoted hashtag clicks,promoted detail expands,promoted permalink clicks,promoted app opens,promoted app installs,promoted follows,promoted email tweet,promoted dial phone,promoted media views,promoted media engagements
7.77946E+17,https://twitter.com/NativeBeeBot/status/777945659076861953,Searching for the Arctic Bumblebee Documentary: UC Riverside scientists travel to Alaska to track Bombus polaris https://t.co/nPIdrJJVSI,2016-09-19 19:01 +0000,147,12,0.081632653,1,0,2,1,2,0,4,0,0,0,0,0,0,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.77898E+17,https://twitter.com/NativeBeeBot/status/777898005219332096,'We need to listen to the bees': Native-bee advocates look to overcome challenges https://t.co/HzFlRBvqLS,2016-09-19 15:51 +0000,164,12,0.073170732,3,0,2,2,3,0,2,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.37888E+17,https://twitter.com/NativeBeeBot/status/737888112777560064,Honeybees pick up 'astonishing' number of pesticides via non-crop plants https://t.co/hrQMAiGzp5,2016-06-01 06:06 +0000,323,12,0.037151703,2,0,2,1,7,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.26475E+17,https://twitter.com/NativeBeeBot/status/726474809517871104,RT @abrahamhyatt Ultra Green Sweat Bee female https://t.co/wNUb7sSYYS,2016-04-30 18:14 +0000,426,12,0.028169014,2,0,2,3,0,0,0,0,0,0,0,0,0,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.43092E+17,https://twitter.com/NativeBeeBot/status/743091961314332672,The worldâ€™s favorite flavor at risk Â» Scienceline https://t.co/csNJY9wiGp,2016-06-15 14:45 +0000,265,10,0.037735849,2,0,0,1,6,0,1,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.90645E+17,https://twitter.com/NativeBeeBot/status/790645454660743168,The current vogue for beekeeping is overshadowing efforts to conserve native bees https://t.co/liJxVQNJJc,2016-10-24 20:05 +0000,1061,9,0.008482564,3,0,2,0,2,0,2,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.81542E+17,https://twitter.com/NativeBeeBot/status/781542260261330944,"Brexit could do more than kill Europeâ€™s economyâ€”it might kill even more bees, too https://t.co/LpoPcTMrCp",2016-09-29 17:12 +0000,549,9,0.016393443,3,0,2,1,2,0,1,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.60671E+17,https://twitter.com/NativeBeeBot/status/760670527845376004,Avocado farmer swears by native bees to pollinate his crop  https://t.co/24uAnAs9CT,2016-08-03 02:56 +0000,116,9,0.077586207,0,0,0,1,4,0,4,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.53641E+17,https://twitter.com/NativeBeeBot/status/753640853596409858,The Case Against Honeybees https://t.co/7Z3DXHLndr,2016-07-14 17:22 +0000,165,9,0.054545455,0,2,0,1,6,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.42871E+17,https://twitter.com/NativeBeeBot/status/742871112288219136,Sunflower pollen protects bees from parasites https://t.co/JaJcF9dSYM,2016-06-15 00:07 +0000,120,9,0.075,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.85607E+17,https://twitter.com/NativeBeeBot/status/785606763890380800,Here's What You Can Do To Help The Declining Bee Population | Popular Science https://t.co/87Ev67qyFv,2016-10-10 22:23 +0000,237,8,0.033755274,2,0,1,1,3,0,1,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.45627E+17,https://twitter.com/NativeBeeBot/status/745627108697903107,Media neglect puts native insects at risk https://t.co/745MCbPUbq,2016-06-22 14:38 +0000,284,8,0.028169014,3,0,2,0,3,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.45431E+17,https://twitter.com/NativeBeeBot/status/745430591076732928,How squash agriculture spread bees in pre-Columbian North America https://t.co/hnfcBn9AQy,2016-06-22 01:37 +0000,142,8,0.056338028,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.22068E+17,https://twitter.com/NativeBeeBot/status/722067853579452416,How to Build an Electronic Bee Counter: We wired up four AD7746 chips to strips of foil in eight Mason bee homesâ€_ https://t.co/OdzWXRWzIf,2016-04-18 14:22 +0000,4255,8,0.001880141,1,0,0,2,1,0,4,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.86041E+17,https://twitter.com/NativeBeeBot/status/786041114067210240,Arctic Bees Could Teach Researchers About Climate Change https://t.co/VaDDJeazyP,2016-10-12 03:09 +0000,359,7,0.019498607,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.80218E+17,https://twitter.com/NativeBeeBot/status/780218037504835584,UVM researcherâ€™s work could provide salvation for bee species https://t.co/RwaPHnXkuW,2016-09-26 01:30 +0000,116,7,0.060344828,0,0,1,1,4,0,1,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.77975E+17,https://twitter.com/NativeBeeBot/status/777974837142626304,"Native bees say, 'don't forget about me!' https://t.co/ssNTDbSVHv",2016-09-19 20:57 +0000,119,7,0.058823529,2,0,1,1,2,0,1,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.61333E+17,https://twitter.com/NativeBeeBot/status/761332842995392513,Radar tracking reveals the 'life stories' of bumblebees as they forage for food https://t.co/zpHejvFttc,2016-08-04 22:47 +0000,132,7,0.053030303,0,0,3,1,1,0,2,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.56598E+17,https://twitter.com/NativeBeeBot/status/756597813904076800,Declining wild bee populations threaten stateâ€™s fruit industry https://t.co/8J4IPVHhBs,2016-07-22 21:12 +0000,498,7,0.014056225,3,0,2,0,1,0,1,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.41375E+17,https://twitter.com/NativeBeeBot/status/741374996166103041,Native bees play role as important pollinators https://t.co/5QJ0o3Lv3q,2016-06-10 21:02 +0000,491,7,0.014256619,1,0,2,1,3,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.37702E+17,https://twitter.com/NativeBeeBot/status/737702158766768128,Australian carpenter bee population dramatically expanded during global warming after last Ice Age https://t.co/gn0gfKCEGe,2016-05-31 17:47 +0000,528,7,0.013257576,1,0,1,0,2,0,3,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.20104E+17,https://twitter.com/NativeBeeBot/status/720104378250752004,"Neonic-resistant bees?: â€œThere's also the bumblebee and in Ontario, between 700 and 800 species of native bees... https://t.co/2kcbKwrjBQ",2016-04-13 04:20 +0000,457,7,0.015317287,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.13843E+17,https://twitter.com/NativeBeeBot/status/713842933628207104,"Advocate raises awareness about diversity of native bees: But native bees, including mason bees, mostly live a... https://t.co/ZQeFVPhw8y",2016-03-26 21:39 +0000,269,7,0.026022305,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.12388E+17,https://twitter.com/NativeBeeBot/status/712387809563123712,"Neonicotinoid ban stalls in Illinois, moves forward abroad: â€œThe purposes of the Act are: (1) to protect Illin... https://t.co/7hB3xCJFC2",2016-03-22 21:17 +0000,527,7,0.013282732,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.8376E+17,https://twitter.com/NativeBeeBot/status/783760105753841664,Bumblebees can learn and then teach despite tiny brains https://t.co/Xe6CR93vCw,2016-10-05 20:05 +0000,166,6,0.036144578,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.8193E+17,https://twitter.com/NativeBeeBot/status/781929933765435393,Megachile Bee Fossils Provide Rare Glimpse into Ice Age Environment https://t.co/LaqlFTc2EH,2016-09-30 18:53 +0000,137,6,0.04379562,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.76088E+17,https://twitter.com/NativeBeeBot/status/776087797807493120,"For wild bees on farms, the more the merrier https://t.co/Z1ZjoEN57L",2016-09-14 15:58 +0000,653,6,0.009188361,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.73247E+17,https://twitter.com/NativeBeeBot/status/773247393332551681,Flowers critical link to bacteria transmission in wild bees https://t.co/28zFrp9LTU,2016-09-06 19:51 +0000,120,6,0.05,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.66021E+17,https://twitter.com/NativeBeeBot/status/766020810851049472,"Bee-harming pesticides are declining at plant nurseries, report shows https://t.co/P4K64ufIVk",2016-08-17 21:16 +0000,192,6,0.03125,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.64964E+17,https://twitter.com/NativeBeeBot/status/764964464781250562,The leafcutter bee: Country diary 100 years ago https://t.co/0JevBc0glX,2016-08-14 23:18 +0000,110,6,0.054545455,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.55888E+17,https://twitter.com/NativeBeeBot/status/755887959434485760,More bees could boost B.C. blueberries by $20-million says Vancity report https://t.co/6LCfKHmHVq,2016-07-20 22:11 +0000,300,6,0.02,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.41713E+17,https://twitter.com/NativeBeeBot/status/741713071895412736,Supporting pollinators could have big payoff for Texas cotton farmers https://t.co/0TckU9fzep,2016-06-11 19:25 +0000,247,6,0.024291498,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.15174E+17,https://twitter.com/NativeBeeBot/status/715174457703182336,A Simple Way To 'Save the Bees' That No One is Talking About: Native bees come in a variety of colors and size... https://t.co/5KeCMNg4e5,2016-03-30 13:50 +0000,325,6,0.018461538,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.13358E+17,https://twitter.com/NativeBeeBot/status/713358251622932481,"Enchanting Ephemerals for Your Early Spring Garden â€“ Part 1: Pollinated mainly by small native bees, Spring Be... https://t.co/xnB3tWYDSW",2016-03-25 13:33 +0000,138,6,0.043478261,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.90983E+17,https://twitter.com/NativeBeeBot/status/790982633157124097,The Bee that Breaks Your Heart: Insects are hard-pressed to get protection. Can one fuzzy anomaly beat the odds? https://t.co/NFKSa5DYSX,2016-10-25 18:25 +0000,412,5,0.012135922,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.82276E+17,https://twitter.com/NativeBeeBot/status/782276039254736897,"Federal authorities list 7 species of Hawaii's yellow-faced bees as endangered, a first for any bees in the US https://t.co/0JhibZdI1s",2016-10-01 17:48 +0000,219,5,0.02283105,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.82276E+17,https://twitter.com/NativeBeeBot/status/782275701558738944,Hawaiian bees are first on US endangered species list https://t.co/PggKtbZI2e,2016-10-01 17:47 +0000,240,5,0.020833333,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.79052E+17,https://twitter.com/NativeBeeBot/status/779052380016955393,Don't spray and they will come: 105 native bee species found in pesticide/herbicide-free suburban lawns https://t.co/K2AWbRZMHh,2016-09-22 20:18 +0000,143,5,0.034965035,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.73618E+17,https://twitter.com/NativeBeeBot/status/773618355827712000,â€˜Build habitat and they will comeâ€™: MSU research aims to bring bees back to Midwest farms https://t.co/CZxNOywvHy,2016-09-07 20:26 +0000,120,5,0.041666667,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.71449E+17,https://twitter.com/NativeBeeBot/status/771449287586697216,"""bees are dying globally at an alarming rate"" is the meme without the meme: https://t.co/Gxtm5noznv",2016-09-01 20:46 +0000,145,5,0.034482759,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.60571E+17,https://twitter.com/NativeBeeBot/status/760571013490814977,Meet the Bee Heroes Working On the Front Lines to Save Pollinators  https://t.co/DMUZ5KmxWA,2016-08-02 20:20 +0000,74,5,0.067567568,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.38541E+17,https://twitter.com/NativeBeeBot/status/738540848791588868,"Wildflowers, pollinators thrive thanks to new restoration method https://t.co/ogfvlL5XT5",2016-06-03 01:20 +0000,134,5,0.037313433,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.37702E+17,https://twitter.com/NativeBeeBot/status/737701631169433603,A computational tool for selecting plants when restoring habitat for pollinators https://t.co/mDulj5wTiL,2016-05-31 17:45 +0000,118,5,0.042372881,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.22529E+17,https://twitter.com/NativeBeeBot/status/722528978884366336,"Mason Bees tested at the Carrington (N.D.) Research Center: The CREC is trying out mason bees, Osmia lignaria, thisâ€_ https://t.co/94MW76xBGk",2016-04-19 20:55 +0000,181,5,0.027624309,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.97177E+17,https://twitter.com/NativeBeeBot/status/797177174750957568,Wild Bees Harbor Honeybee Viruses Without Apparent Effects on Mortality https://t.co/aeHedzqp3P,2016-11-11 20:40 +0000,289,4,0.01384083,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
